,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
petrol95,393.0,3.0,0.27311488844366716,0.6539716523965418,0.5022383763716041,4.9641083075022685,3.272750758996015,4.954885816191288
petrol92,209.0,5.0,0.056714803611535844,0.8245491303407022,0.5000601997833221,3.6563384877550584,0.24472030752583562,0.6654811415243049
auto_diesel,485.0,10.0,0.24274753154774967,0.6879656963418399,0.515857987050154,1.584139423358815,1.148326280651832,2.71884118050863
super_diesel,254.0,3.0,0.29940311088630966,0.6825579945283349,0.5040534899542214,0.9019898409568778,4.0412198777738455,3.345244181145599
gdp,370.0,3.0,0.23593980724267088,0.9140756785012256,0.8845015112844735,0.2825889551909169,0.5111244709687925,1.8918037327213997
ncpi,487.0,5.0,0.10813506922663327,0.603794390310965,0.7122910902144912,3.8167659089591104,1.1952749852055524,1.0243301875521964
crudeoil,296.0,7.0,0.05929304640691765,0.772808924704042,0.8977626081000489,4.534735639818213,2.4698061305957153,4.515192366364059
traffic_index,285.0,7.0,0.2945417398572865,0.7567037419438876,0.6461723545466134,2.1098354511486894,4.145627483291548,4.69830915875144
