iter	RMSE
0	0.3609100852
1	0.3366249086
2	0.3165396657
3	0.2983936071
4	0.2851583705
5	0.2734200251
6	0.2613842449
7	0.2528855338
8	0.244302249
9	0.2389238145
10	0.2307366908
11	0.2269951683
12	0.2226523956
13	0.2180238075
14	0.2149826324
15	0.2127129399
16	0.2078118156
17	0.2036423899
18	0.2006265186
19	0.1991343019
20	0.1967167666
21	0.1951919845
22	0.1931404112
23	0.1907916224
24	0.1896093385
25	0.1880612415
26	0.186276452
27	0.1850030682
28	0.1839867149
29	0.1829352093
30	0.1811999067
31	0.1794627314
32	0.1775894915
33	0.1764667814
34	0.1749500686
35	0.1730761911
36	0.1718150835
37	0.1697507373
38	0.1681743374
39	0.1669120565
40	0.1647820589
41	0.1622780555
42	0.1610236363
43	0.1608229444
44	0.1588044519
45	0.1579349589
46	0.1561059144
47	0.1544057783
48	0.1540100132
49	0.1507892132
50	0.1491265233
51	0.1483035587
52	0.1480320617
53	0.1474263619
54	0.1469304075
55	0.145113192
56	0.1444379788
57	0.1433985601
58	0.1431049744
59	0.1407827724
60	0.1393978136
61	0.1379756227
62	0.1372363846
63	0.1367402641
64	0.1360926576
65	0.1351761366
66	0.1335623293
67	0.1332838026
68	0.1328814544
69	0.1311102438
70	0.1295326565
71	0.1285277366
72	0.1268451494
73	0.1256179856
74	0.1241565832
75	0.1233105481
76	0.1218356242
77	0.1200716948
78	0.119322724
79	0.1185116264
80	0.1176730163
81	0.1166711092
82	0.1154519633
83	0.1145917817
84	0.1132650061
85	0.1129847902
86	0.1114809679
87	0.1101923109
88	0.1096116331
89	0.1086308828
90	0.1075055297
91	0.1065849848
92	0.105717647
93	0.1047824591
94	0.1039627418
95	0.1029167585
96	0.1020422545
97	0.1013364826
98	0.1006060083
99	0.09962326152
100	0.09882244756
101	0.09846822756
102	0.09773342628
103	0.09736429823
104	0.0965257008
105	0.09576187488
106	0.09486276112
107	0.09434916801
108	0.09381314009
109	0.09310950171
110	0.09288454364
111	0.09264098974
112	0.09227693322
113	0.09163444111
114	0.09045729256
115	0.08947625185
116	0.08885046302
117	0.0885850965
118	0.08841798206
119	0.08818752575
120	0.08739840008
121	0.08668558921
122	0.08562269806
123	0.08525676036
124	0.08488775496
125	0.08458458894
126	0.08338439473
127	0.08290579665
128	0.08221578577
129	0.08085235478
130	0.08024021273
131	0.07937239661
132	0.07922137869
133	0.07899726377
134	0.07875423504
135	0.07807957219
136	0.07770370345
137	0.07730550376
138	0.07704084228
139	0.07690828616
140	0.07575829974
141	0.07557877932
142	0.07536484276
143	0.07520030106
144	0.0750611024
145	0.07491713337
146	0.07474356663
147	0.07409649694
148	0.07376470328
149	0.0734465442
150	0.07248653581
151	0.07201779631
152	0.07152001169
153	0.07110298948
154	0.07078837666
155	0.0704747566
156	0.0697194716
157	0.06943853531
158	0.06906364629
159	0.06860765918
160	0.0678190714
161	0.06681244242
162	0.06648910726
163	0.06600064689
164	0.0654975343
165	0.06508719297
166	0.06499065066
167	0.06430583737
168	0.06373164873
169	0.0635219174
170	0.06338716089
171	0.06296307913
172	0.06267635261
173	0.06242623091
174	0.06224064959
175	0.06182754453
176	0.06169629262
177	0.06077482532
178	0.06038437629
179	0.05970958982
180	0.05955958303
181	0.0593051494
182	0.05868734051
183	0.05848215897
184	0.05783999163
185	0.05744836588
186	0.05704438074
187	0.05678276255
188	0.05637443594
189	0.05579280461
190	0.05555347046
191	0.05514148292
192	0.05465197574
193	0.05379744189
194	0.05333026304
195	0.0528200907
196	0.05247626404
197	0.05220378343
198	0.05133060693
199	0.05121973001
200	0.05064870133
201	0.05041660987
202	0.0503096064
203	0.05010541617
204	0.04964217492
205	0.04931836972
206	0.04885507986
207	0.04854871324
208	0.04810069519
209	0.04796307576
210	0.04780686247
211	0.04734756767
212	0.04686883273
213	0.0467769813
214	0.04636534094
215	0.04580006899
216	0.04558940129
217	0.04533117668
218	0.04516360813
219	0.04504483707
220	0.04483219642
221	0.0446685949
222	0.04432198596
223	0.04421987658
224	0.04379989608
225	0.04370245638
226	0.04352563632
227	0.04336287363
228	0.04318473029
229	0.04276413956
230	0.04260995742
231	0.04213340881
232	0.04197738911
233	0.04163030356
234	0.04155479065
235	0.04110073489
236	0.04103006769
237	0.04075280288
238	0.04045965994
239	0.04024281539
240	0.03982230763
241	0.03925455536
242	0.03875922851
243	0.03845565229
244	0.0380820089
245	0.03790217424
246	0.03769226781
247	0.03749366892
248	0.03741259453
249	0.03720600453
250	0.03702773887
251	0.03678509124
252	0.03624059565
253	0.03587682215
254	0.03553311774
255	0.03536895763
256	0.03530328445
257	0.03523120081
258	0.03500484657
259	0.03458753361
260	0.03451605095
261	0.03411838649
262	0.03404126807
263	0.03377849488
264	0.03358462012
265	0.0331715007
266	0.03282613624
267	0.03264549023
268	0.03230081732
269	0.03223954854
270	0.03211822159
271	0.03195262301
272	0.03183346361
273	0.03175749027
274	0.03161328838
275	0.03118750201
276	0.03090168321
277	0.03066629944
278	0.03052154666
279	0.03049519167
280	0.03018711678
281	0.03011850283
282	0.03002980248
283	0.02959270929
284	0.02942308196
285	0.02934393663
286	0.0292931856
287	0.02902458428
288	0.02898478365
289	0.0289212545
290	0.02883694084
291	0.02863064272
292	0.02860655554
293	0.02853631051
294	0.02834279544
295	0.02830354562
